,sample,alb,biclyr,lob,mac,micmon,muepri,sinstemar,pureCount,hybCount,hyb,sinstemar_1,muepri_1,alb_1,biclyr_1,lob_1,mac1_1,mac2_1,micmon_1,macComb,
73,SYST-MOR-0006772,none,none,none,pure?,none,none,none,1,0,pure,1.00E-05,1.00E-05,1.00E-05,0.01002,1.00E-05,0.944142,0.045789,1.00E-05,0.989931,TRUE
74,SYST-MOR-0006773,none,none,none,none,pure?,none,none,1,0,pure,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,0.99993,2.00E-05,FALSE
75,SYST-MOR-0006774,none,none,none,hybrid?,hybrid?,none,none,0,2,hybrid,1.00E-05,1.00E-05,0.058298,1.00E-05,1.00E-05,0.124465,1.00E-05,0.817187,0.124475,TRUE
76,SYST-MOR-0006775,none,none,none,pure?,none,none,none,1,0,pure,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,0.974015,0.025925,1.00E-05,0.99994,TRUE
77,SYST-MOR-0006776,none,pure?,none,none,none,none,none,1,0,pure,1.00E-05,1.20E-05,1.00E-05,0.994458,1.00E-05,0.00548,1.00E-05,1.00E-05,0.00549,TRUE
78,SYST-MOR-0006777,none,none,none,hybrid?,hybrid?,none,none,0,2,hybrid,1.00E-05,1.00E-05,0.007164,1.00E-05,1.10E-05,0.871794,1.00E-05,0.120991,0.871804,FALSE
79,SYST-MOR-0006778,none,none,none,pure?,none,none,none,1,0,pure,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.50E-05,0.108591,0.891344,1.00E-05,0.999935,TRUE
80,SYST-MOR-0006779,none,none,none,pure?,none,none,none,1,0,pure,1.00E-05,1.10E-05,1.00E-05,1.00E-05,1.00E-05,0.037714,0.962226,1.00E-05,0.99994,TRUE
81,SYST-MOR-0006780,none,none,none,pure?,none,none,none,1,0,pure,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,0.046707,0.953233,1.00E-05,0.99994,TRUE
82,SYST-MOR-0006781,none,none,none,pure?,none,none,none,1,0,pure,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,0.053325,0.946615,1.00E-05,0.99994,TRUE
83,SYST-MOR-0006782,none,none,none,pure?,none,none,none,1,0,pure,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,0.179856,0.820084,1.00E-05,0.99994,TRUE
84,SYST-MOR-0006783,pure?,none,none,none,none,none,none,1,0,pure,1.00E-05,1.00E-05,0.986243,0.003614,1.00E-05,1.00E-05,0.010093,1.00E-05,0.010103,TRUE
85,SYST-MOR-0006784,pure?,none,none,none,none,none,none,1,0,pure,1.00E-05,1.00E-05,0.999927,1.00E-05,1.30E-05,1.00E-05,1.00E-05,1.00E-05,2.00E-05,TRUE
86,SYST-MOR-0006785,pure?,none,none,none,none,none,none,1,0,pure,1.00E-05,1.00E-05,0.99993,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,2.00E-05,TRUE
87,SYST-MOR-0006786,pure?,none,none,none,none,none,none,1,0,pure,1.00E-05,1.00E-05,0.99993,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,2.00E-05,TRUE
88,SYST-MOR-0006787,none,none,none,none,none,pure?,none,1,0,pure,1.00E-05,0.996577,1.00E-05,1.00E-05,1.00E-05,0.003363,1.00E-05,1.00E-05,0.003373,FALSE
89,SYST-MOR-0006788,none,none,none,none,none,pure?,none,1,0,pure,1.00E-05,0.99993,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,2.00E-05,FALSE
90,SYST-MOR-0006789,none,none,none,none,none,pure?,none,1,0,pure,1.00E-05,0.988138,0.011802,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,2.00E-05,FALSE
91,SYST-MOR-0006790,none,none,none,none,none,pure?,none,1,0,pure,1.00E-05,0.99993,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,2.00E-05,FALSE
92,SYST-MOR-0006791,none,none,none,pure?,none,none,none,1,0,pure,1.00E-05,1.00E-05,1.00E-05,1.00E-05,1.00E-05,0.216943,0.782997,1.00E-05,0.99994,TRUE
93,SYST-MOR-0006792,none,none,none,pure?,none,none,none,1,0,pure,1.00E-05,1.00E-05,1.00E-05,1.00E-05,9.30E-05,0.17853,0.821327,1.00E-05,0.999857,TRUE
94,SYST-MOR-0006793,pure?,none,none,none,none,none,none,1,0,pure,1.00E-05,1.00E-05,0.991614,1.00E-05,0.008326,1.00E-05,1.00E-05,1.00E-05,2.00E-05,TRUE
