V1	wc2.1_30s_bio_2	wc2.1_30s_bio_6	wc2.1_30s_bio_8	wc2.1_30s_bio_13	wc2.1_30s_bio_14	wc2.1_30s_bio_18
SYST-MOR-0007359.bam	11.6666669845581	-25.1000003814697	17.466667175293	104	16	278
SYST-MOR-0007360.bam	11.6666669845581	-25.1000003814697	17.466667175293	104	16	278
SYST-MOR-0007361.bam	11.6666669845581	-25.1000003814697	17.466667175293	104	16	278
SYST-MOR-0007362.bam	11.6666669845581	-25.1000003814697	17.466667175293	104	16	278
SYST-MOR-0007363.bam	11.6666669845581	-25.1000003814697	17.466667175293	104	16	278
SYST-MOR-0007364.bam	11.6666669845581	-25.1000003814697	17.466667175293	104	16	278
SYST-MOR-0007365.bam	11.6666669845581	-25.1000003814697	17.466667175293	104	16	278
SYST-MOR-0007366.bam	11.6666669845581	-25.1000003814697	17.466667175293	104	16	278
SYST-MOR-0007367.bam	11.7166662216187	-23	15.4166669845581	88	18	221
SYST-MOR-0007368.bam	11.7166662216187	-23	15.4166669845581	88	18	221
SYST-MOR-0007369.bam	11.7166662216187	-23	15.4166669845581	88	18	221
SYST-MOR-0007370.bam	11.7166662216187	-23	15.4166669845581	88	18	221
SYST-MOR-0007371.bam	11.7166662216187	-23	15.4166669845581	88	18	221
SYST-MOR-0007372.bam	11.7166662216187	-23	15.4166669845581	88	18	221
SYST-MOR-0007373.bam	11.7166662216187	-23	15.4166669845581	88	18	221
SYST-MOR-0007374.bam	11.7166662216187	-23	15.4166669845581	88	18	221
SYST-MOR-0007375.bam	11.6916666030884	-23	15.4166669845581	87	18	221
SYST-MOR-0007376.bam	11.7166662216187	-23	15.4166669845581	88	18	221
SYST-MOR-0007377.bam	11.3416662216187	-23.2000007629395	18.966667175293	92	15	249
SYST-MOR-0007378.bam	11.3416662216187	-23.2000007629395	18.966667175293	92	15	249
SYST-MOR-0007379.bam	11.3416662216187	-23.2000007629395	18.966667175293	92	15	249
SYST-MOR-0007380.bam	11.3416662216187	-23.2000007629395	18.966667175293	92	15	249
SYST-MOR-0007381.bam	11.3416662216187	-23.2000007629395	18.966667175293	92	15	249
SYST-MOR-0007382.bam	11.3416662216187	-23.2000007629395	18.966667175293	92	15	249
SYST-MOR-0007383.bam	11.3416662216187	-23.2000007629395	18.966667175293	92	15	249
SYST-MOR-0007384.bam	11.3416662216187	-23.2000007629395	18.966667175293	92	15	249
SYST-MOR-0007385.bam	11.3416662216187	-23.2000007629395	18.966667175293	92	15	249
SYST-MOR-0007386.bam	11.3416662216187	-23.2000007629395	18.966667175293	92	15	249
SYST-MOR-0007387.bam	12.3333330154419	-19.1000003814697	16.783332824707	112	21	320
SYST-MOR-0007388.bam	12.3333330154419	-19.1000003814697	16.783332824707	112	21	320
SYST-MOR-0007389.bam	12.3083333969116	-19.1000003814697	16.783332824707	112	21	318
SYST-MOR-0007390.bam	12.3083333969116	-19.1000003814697	16.783332824707	112	21	318
SYST-MOR-0007391.bam	12.3249998092651	-19.1000003814697	16.783332824707	112	21	322
