File	Sample	samtools	readsmapped	read1	read2	properly_paired	pairsmapped	singleton	mateondifcsome	mateHQondifcsome (mapQ>=5)
SYST-MOR-0006971.bam	SYST-MOR-0006971	samtools 1.21	96398884	48602453	47796431	83932410	89900008	6498876	2300298	641769
SRR26194536.bam	SRR26194536	samtools 1.21	123081547	62208676	60872871	100598720	112879980	10201567	4554336	1389760
SYST-MOR-0006972.bam	SYST-MOR-0006972	samtools 1.21	94292092	47385996	46906096	82899882	88486866	5805226	2195906	648148
SYST-MOR-0006973.bam	SYST-MOR-0006973	samtools 1.21	79371979	39944743	39427236	64399082	74316022	5055957	3371104	1093274
SYST-MOR-0006974.bam	SYST-MOR-0006974	samtools 1.21	97137351	49027852	48109499	77769126	90699258	6438093	4465534	1436309
SYST-MOR-0006975.bam	SYST-MOR-0006975	samtools 1.21	117486471	59169022	58317449	95669844	110178698	7307773	5027772	1567066
SYST-MOR-0006976.bam	SYST-MOR-0006976	samtools 1.21	75701847	38182037	37519810	61232626	70830316	4871531	3214778	1032440
SYST-MOR-0006977.bam	SYST-MOR-0006977	samtools 1.21	71557766	36076968	35480798	58292768	66617808	4939958	3066854	914987
SYST-MOR-0006978.bam	SYST-MOR-0006978	samtools 1.21	80046147	40273392	39772755	68871708	74874452	5171695	2176340	676341
SYST-MOR-0006979.bam	SYST-MOR-0006979	samtools 1.21	117100798	59101285	57999513	96580980	108751536	8349262	4409670	1360082
SYST-MOR-0006980.bam	SYST-MOR-0006980	samtools 1.21	105789958	53159888	52630070	94877248	99832796	5957162	1989208	568018
SYST-MOR-0006981.bam	SYST-MOR-0006981	samtools 1.21	84567103	42574609	41992494	71110676	79563202	5003901	3086876	926226
SRR26194538.bam	SRR26194538	samtools 1.21	202230620	102908956	99321664	162269914	183233646	18996974	7998538	2187166
SRR14632922.bam	SRR14632922	samtools 1.21	111477107	56360681	55116426	89030102	103618280	7858827	7397606	2199534
SYST-MOR-0006982.bam	SYST-MOR-0006982	samtools 1.21	80340678	40461898	39878780	66388950	75626600	4714078	3039922	1008690
SYST-MOR-0006983.bam	SYST-MOR-0006983	samtools 1.21	104962297	52971048	51991249	84397546	97888948	7073349	4576380	1478023
SYST-MOR-0006984.bam	SYST-MOR-0006984	samtools 1.21	88506046	44651711	43854335	70895096	82439344	6066702	3965442	1255068
SYST-MOR-0006985.bam	SYST-MOR-0006985	samtools 1.21	84069814	42443950	41625864	67724028	77707456	6362358	3584954	1130658
SYST-MOR-0006986.bam	SYST-MOR-0006986	samtools 1.21	96099805	48490481	47609324	77094644	88927766	7172039	4161392	1333490
SYST-MOR-0006987.bam	SYST-MOR-0006987	samtools 1.21	85180354	42875293	42305061	70881454	79089258	6091096	3016340	953843
SYST-MOR-0006988.bam	SYST-MOR-0006988	samtools 1.21	69489560	34898006	34591554	63288360	65617318	3872242	1033658	289173
SYST-MOR-0006989.bam	SYST-MOR-0006989	samtools 1.21	83485371	41997296	41488075	69530938	78115002	5370369	3021480	954209
SYST-MOR-0006990.bam	SYST-MOR-0006990	samtools 1.21	102056681	51682299	50374382	82471762	94811944	7244737	4292238	1346904
